가수,노래 제목,벅스 링크,음악번호,가사,앨범사진,템포,배경,accumulated,love_ratio,excited_ratio,missing_ratio,앨범명,벅스 앨범 링크,장르,가사 감정,youtube search link,first video link
0,Jack Johnson,Better Together,https://music.bugs.co.kr/track/80099447,80099447.0,"There is no combination of words 
I could put on the back of a postcard 
And no song that I could sing,
but I can try for your heart 
Our dreams, and they are made out of real things 
Like a shoebox of photographs
with sepia tone loving 

Love is the answer 
At least for most of the questions in my heart 
Why are we here and where do we go
And how come it's so hard
It's not always easy 
and sometimes life can be deceiving 
I'll tell you one thing
It's always better when we're together  

Mmm, it's always better when we're together 
Yeah, we'll look at the stars when we're together 
Well, it's always better when we're together 
Yeah, it's always better when we're together 

And all of these moments just might find a way 
Into my dreams tonight 
But I know that they'll be gone 
when the morning light sings 
Or brings new things 
For tomorrow night you see 
That they'll be gone too,
too many things I have to do 

But if all of these dreams might find 
Their way into my day to day scene 
I'd be under the impression
I was somewhere in between 
With only two, just me and you, 
not so many things we got to do 
Or places we got to be, 
we'll sit beneath the mango tree now  

Yeah, it's always better when we're together 
Mmm, we're somewhere in between together 
Well, it's always better when we're together 
Yeah, it's always better when we're together 

I believe in memories, 
They look so, so pretty when I sleep 
And when I wake up, 
you look so pretty sleeping next to me 
But there is not enough time 
And there is no, no song I could sing 
And there is no combination of words I could say 

But I will still tell you one thing 
We're better together",https://image.bugsm.co.kr/album/images/200/80090/8009027.jpg?version=20190320130543.0,보통,기차,"{'love': 10.95219926070422, 'excited': 1.7210801150649786, 'longing/missing': 2.9049362428486347, 'other': 38.21347947465256}",0.2036039065456852,0.0319952757034476,0.0540034337607638,In Between Dreams,https://music.bugs.co.kr/album/8009027?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Better+Together+Jack+Johnson,https://www.youtube.com/watch?v=fqxNYjDFJUk&pp=ygUcQmV0dGVyIFRvZ2V0aGVyIEphY2sgSm9obnNvbg%3D%3D
1,Iron & Wine,Each Coming Night,https://music.bugs.co.kr/track/1980702,1980702.0,"Will you say when I'm gone away 
""My lover came to me and we'd lay 
In rooms unfamiliar but until now"" 

Will you say to them when I'm gone 
""I loved your son for his sturdy arms 
We both learned to cradle then live without"" 

Will you say when I'm gone away 
'Your father's body was judgement day 
We both dove and rose to the riverside"" 

Will you say to me when I'm gone 
""Your face has faded but lingers on 
Because light strikes a deal with each coming night""",https://image.bugsm.co.kr/album/images/200/2216/221642.jpg?version=20220127014400.0,느림,기차,"{'love': 1.3487758412957191, 'excited': 0.6056318432092667, 'longing/missing': 0.12493277341127396, 'other': 12.98272554250434}",0.089547864234432,0.0402090817549434,0.0082945310031031,The Last Song,https://music.bugs.co.kr/album/221642?wl_ref=S_tr_01_04,OST,love,https://www.youtube.com/results?search_query=Each+Coming+Night+Iron+%26+Wine,https://www.youtube.com/watch?v=U3HYkl3Ql6s&pp=ygUdRWFjaCBDb21pbmcgTmlnaHQgSXJvbiAmIFdpbmU%3D
2,Jason Mraz,93 Million Miles,https://music.bugs.co.kr/track/2613066?wl_ref=list_tr_08_mab,2613066.0,"93 million miles from the Sun, people get ready get ready,
'Cause here it comes it’s a light, a beautiful light, 
Over the horizon in to your eyes
Oh, my my how beautiful, oh my beautiful mother
She told me, ""Son in life you’re gonna go far, 
If you do it right you’ll love where you are
Just know, what wherever you go, you can always come home""

240 thousand miles from the Moon, 
You’ve come a long way to belong here,
To share this view of the night, a glorious night, 
Over the horizon is another bright sky
Oh, my my how beautiful, oh my irrefutable father,
He told me, ""Son in life it may seem dark, 
But the absence of the light is a necessary part.
Just know, that wherever you go, no you’re never alone, 
You can always come back home""

Ohh ohh ohh
Ohh ohh ohh

You can always come back 

Every road is a slippery slope
There is always a hand you can hold on to
Looking deeper through the telescope
You can see that the home’s inside of you

Just know, that wherever you go, 
No you’re never alone, you always get back home

Ohh ohh ohh
Ohh ohh ohh

93 million miles from the Sun, people get ready get ready,
'Cause here it comes it’s a light, a beautiful light, 
Over the horizon in to your eyes",https://image.bugsm.co.kr/album/images/200/3250/325050.jpg?version=20140725074945.0,보통,기차,"{'love': 7.825134457089007, 'excited': 1.8704370558261871, 'longing/missing': 0.11837591975927353, 'other': 25.79154948098585}",0.2197732129975367,0.0525322553526441,0.003324652933403,93 Million Miles,https://music.bugs.co.kr/album/325050?wl_ref=S_tr_01_04,"락,팝",love,https://www.youtube.com/results?search_query=93+Million+Miles+Jason+Mraz,https://www.youtube.com/watch?v=bcQwIxRcaYs&pp=ygUbOTMgTWlsbGlvbiBNaWxlcyBKYXNvbiBNcmF6
3,Fiji Blue,It Takes Two,https://music.bugs.co.kr/track/83107100?wl_ref=list_tr_08_mab,83107100.0,"What if I wake up happy?
And what if I wake up sad?
Sorry if I said something
Something that made you mad
Wishing that I could call ya
Sorry my service bad
My bad
When I wake up you're not next to me
Guess I'm missing all your energy
That's all I want (That's all I want)
Promise I am not your enemy
I just need another memory
That's all I want
'Cause all I want is you is you
It takes two
'Cause all I want is you is you
It takes two
All I want is
Tell me
Does a flower in the shade
ever feel a little jealousy?
Does it ever go away?
All I want is you to answer me right now
Just dance with me right now
Just dance with me right now
When I wake up you're not next to me
Guess I'm missing all your energy
That's all I want (That's all I want)
Promise I am not your enemy
I just need another memory
That's all I want
'Cause all I want is you is you
It takes two
'Cause all I want is you is you
It takes two
All I want is you is you
It takes two
'Cause all I want is you is you
It takes two
(Is you is you oh)",https://image.bugsm.co.kr/album/images/200/162021/16202110.jpg?version=20220404172534.0,보통,기차,"{'love': 6.001125197857618, 'excited': 1.4350445047020912, 'longing/missing': 6.080997064709663, 'other': 25.150766337756068}",0.1551964306330531,0.0371120044302442,0.1572620147084963,Reasons You Should Care,https://music.bugs.co.kr/album/16202110?wl_ref=S_tr_01_04,팝,missing,https://www.youtube.com/results?search_query=It+Takes+Two+Fiji+Blue,https://www.youtube.com/watch?v=IMsIvOjB3do&pp=ygUWSXQgVGFrZXMgVHdvIEZpamkgQmx1ZQ%3D%3D
4,"LANY, Lauv",Mean It,https://music.bugs.co.kr/track/5800262?wl_ref=list_tr_08_mab,5800262.0,"Small talk no conversation
That look makes me impatient
I can’t tell what you’re thinking
Please tell me what you’re thinking
Last night we were more than fine
Just tell me if you changed your mind
If you changed your mind

Cause I’m all I’m all in
Calling no answer
Would you text me when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me with a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it

Ooh yeah
You know you’ve got me 
In the palm of your hand
But I love those hands
Oooh yeah
But you only let me hold you when he can’t
Yeah I don’t understand
Cause I’m all I’m all in
I’m calling no answer
Would you text me when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me with a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it

Hurry home let’s never leave the house 
(But you don’t mean it)
Let’s stay in bed while all our friends go out 
(But you don’t mean it)
Why you let those words 
Come out of your mouth 
(If you don’t mean it)
You’ve been staring at me 
With a heart of doubt

Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up just to let me down
Just to let me down down down (hey)
Don’t mess with my head
Don’t tell me you’re falling with your feet 
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me no don’t kiss me right now
On your lips just leave it
If you don’t mean it",https://image.bugsm.co.kr/album/images/200/9540/954012.jpg?version=20230211004032.0,보통,기차,"{'love': 3.559190227650106, 'excited': 2.505946943536401, 'longing/missing': 7.4707839004695415, 'other': 72.93274246435612}",0.0411616195058662,0.0289809838739178,0.0863987437178109,Mean It,https://music.bugs.co.kr/album/954012?wl_ref=S_tr_01_04,팝,missing,https://www.youtube.com/results?search_query=Mean+It+LANY%2C+Lauv,https://www.youtube.com/watch?v=c_10qS7amjk&pp=ygUSTWVhbiBJdCBMQU5ZLCBMYXV2
5,Johnny Stimson,Material Things,https://music.bugs.co.kr/track/83110893?wl_ref=list_tr_08_mab,83110893.0,"I love material things
Because they light up
the emptiness around me
Nothing can hurt as bad as human beings
And so I'm best friends with these
I got the brand new Nikes on my motorbike
I take it up to ninety just to feel alive
I'll keep on riding ‘till reality is out of sight
Ninety three ninety four ninety five
I bought a beach house
so I wouldn't fall apart
Made a significant investment
in a baseball card
Plastic and polyester filling up
my broken heart
Finally I'm a real superstar
I love material things
Because they light up
the emptiness around me
Nothing can hurt as bad as human beings
And so I'm best friends with these
My Tamagotchi's always watching
from his spot on the shelf
He probly knows me
even better than I know myself
Lately he's really done wonders
for my mental health
Now I'll never need anyone else
I just want gold hoops gold rings
all my denim Japanese please
Jet skis and limousines
I just need these bare necessities
To replace the empty space you left in me
When you crushed all my hopes
and my dreams
I love material things
Because they light up
the emptiness around me
Nothing can hurt as bad as human beings
And so I'm best friends with these
Material things
My my material things
Satisfaction guaranteed
(nothing can hurt as bad as you hurt me)
And so I'm best friends with these",https://image.bugsm.co.kr/album/images/200/162031/16203136.jpg?version=20211229003244.0,보통,기차,"{'love': 11.08910474088043, 'excited': 1.7650160659104586, 'longing/missing': 6.452296726405621, 'other': 22.711871742736548}",0.2639113807813201,0.042005900200259,0.1535592437862843,Material Things,https://music.bugs.co.kr/album/16203136?wl_ref=S_tr_01_04,팝,love,https://www.youtube.com/results?search_query=Material+Things+Johnny+Stimson,https://www.youtube.com/watch?v=FTMYbmFfJiQ&pp=ygUeTWF0ZXJpYWwgVGhpbmdzIEpvaG5ueSBTdGltc29u
6,wave to earth,ocean floor,https://music.bugs.co.kr/track/31985624,31985624.0,"I can't see any shape right now
Oh am I in the dark?
Oh am I in the dark?
Feels like I am just out of reach
Could you hold my hands
Oh where did you go
So baby don't you lie
I know I'm goin' to die
On the ocean floor
If I could be anything
I'll be a single whale
On the ocean floor
My figure is turning vague
Cause I am in the dark
Oh am I in the dark?
Feels like I am just out of reach
Could you hold my hands
Oh where did you go
So baby don't you lie
I know I'm goin' to die
On the ocean floor
If I could be anything
I'll be a single whale
On the ocean floor
So baby don't you lie
I know I'm goin' to die
On the ocean floor
If I could be anything
I'll be a single whale
On the ocean floor",https://image.bugsm.co.kr/album/images/200/203416/20341600.jpg?version=20231101183037.0,느림,기차,"{'love': 0.18139930721372366, 'excited': 2.828813586384058, 'longing/missing': 4.192838191986084, 'other': 22.60354430694133}",0.0060858781361931,0.0949056257224687,0.1406681352489372,summer flows 0.02,https://music.bugs.co.kr/album/20341600?wl_ref=S_tr_01_04,"인디,락/메탈",missing,https://www.youtube.com/results?search_query=ocean+floor+wave+to+earth,https://www.youtube.com/watch?v=M4fHhwsZxF8&pp=ygUZb2NlYW4gZmxvb3Igd2F2ZSB0byBlYXJ0aA%3D%3D
7,Oftn,purple dream,https://music.bugs.co.kr/track/31784752?wl_ref=list_tr_08_mab,31784752.0,"Come on and open up
Baby open up your heart
Love changes everything
Love makes fools of everyone
Even if I lose everything
I'll be wait till you love me
Everyday yeah everyday
You're gonna feel the wanna love me
Maybe we'll go to the moon
Oh love tonight
Maybe we'll go to the star
Oh love tonight
Come on and open up
Baby open up your heart
Love changes everything
Love makes fools of everyone
Even if I lose everything
I'll be wait till you love me
Everyday yeah everyday
You're gonna feel the wanna love me",https://image.bugsm.co.kr/album/images/200/202947/20294704.jpg?version=20221116115109.0,보통,기차,"{'love': 7.9620898719877005, 'excited': 0.7691307291388512, 'longing/missing': 0.5419301092624664, 'other': 10.035276334732771}",0.4123634645836827,0.0398339402449237,0.0280670252421925,draw a day,https://music.bugs.co.kr/album/20294704?wl_ref=S_tr_01_04,"인디,알앤비/소울",love,https://www.youtube.com/results?search_query=purple+dream+Oftn,https://www.youtube.com/watch?v=uj3mUJ5cWis&pp=ygURcHVycGxlIGRyZWFtIE9mdG4%3D
8,사공 ,Gloomy boy d;(,https://music.bugs.co.kr/track/31457565,31457565.0,"Mom why are you crying?
Why are you packing?
I'm sorry if it 's my fault
So don't go
Why are you asking?
I'm not going anywhere
Don't fight over me
Don't fight over me
I just wanna be happy
Don't try to have me
Don't try to have me
I am mine no one can have me
Daddy why are you sighing?
Why aren't you saying?
I'm sorry if it's my fault
So don't go
Why are you asking?
Is there any other way?
Don't fight over me
Don't fight over me
I just wanna be happy
Don't try to have me
Don't try to have me
I am mine no one can have me",https://image.bugsm.co.kr/album/images/200/202294/20229473.jpg?version=20210913210038.0,보통,기차,"{'love': 1.6962513290345669, 'excited': 1.920301377773285, 'longing/missing': 4.672867253422737, 'other': 16.14902787283063}",0.0694091269880003,0.0785770598399228,0.1912096580496046,A careless fellow,https://music.bugs.co.kr/album/20229473?wl_ref=S_tr_01_04,"인디,락/메탈",missing,https://www.youtube.com/results?search_query=Gloomy+boy+d%3B%28+%EC%82%AC%EA%B3%B5+,https://www.youtube.com/watch?v=vLbHTBzrLV0&pp=ygUWR2xvb215IGJveSBkOygg7IKs6rO1IA%3D%3D
9,혁오 ,LOVE YA!,https://music.bugs.co.kr/track/5229177?wl_ref=list_tr_08_ar,5229177.0,"Don't be afraid yeah I'll stay
Kick our blanket make it balloon
Hiding inside
I'll blow all of my love to your lips
Love this quiet moment
Who would you save
If your best mate and me are drowning
I'll save my friend
Cause you're like a monk seal
And you asked
I love you how much can you love me?
Emm just without thousand words
And then I'll say
I love ya I love ya
I love ya I love ya
Don't be afraid yeah I'll stay
Hide your little spot with my ring finger
Let's put a name
On each of your every single hair
Love this quiet moment
Who would you save
If your best mate and me are drowning
I'll save my friend
Cause you're like a monk seal
You're like me
And I'm like you
What you're thinking right now
It's always the same as me
That's why I'm so in love
I love ya I love ya
I love ya I love ya
I love ya
I love ya I love ya
I love ya I love ya
I love ya I love ya
I love ya I love ya
I love ya",https://image.bugsm.co.kr/album/images/200/7469/746993.jpg?version=20220928003618.0,보통,기차,"{'love': 20.25410718470812, 'excited': 1.160367839038372, 'longing/missing': 0.1396503783762455, 'other': 16.215085968375206}",0.5362597324584035,0.0307225858558633,0.0036974660923242,24 : How to find true love and happiness,https://music.bugs.co.kr/album/746993?wl_ref=S_tr_01_04,"인디,락/메탈",love,https://www.youtube.com/results?search_query=LOVE+YA%21+%ED%98%81%EC%98%A4+,https://www.youtube.com/watch?v=aKHbqm-D62Y&pp=ygUQTE9WRSBZQSEg7ZiB7JikIA%3D%3D
